#GLV_CCN|GLV_PN|GLV_DPK_SN|GLV_REF_NO|LKM_TRANS_TYPE|GLV_TRANS_DATE_AUS|GLV_TRANS_DATE_REG|GLV_FROM_ML|GLV_FROM_SR|GLV_TO_ML|GLV_TO_SR|LKM_FROM_STATUS|LKM_TO_STATUS|LKM_UPDATE_DATE_AUS|LKM_UPDATE_DATE_REG|LKM_TO_FACILITY|LKM_KEY_TYPE|GLV_MSG_ID
I10000|TMTN1|2586174208566| 9564867|NA                  |12/14/2014 23:59:52.000000|12/15/2014 13:59:52.000000|NUL|NULL    |I1R|DFI10   |STAGED_TO_UNALLOCATED|UNALLOCATED|12/15/2014 00:02:35.000000|12/15/2014 13:02:35.000000||PRODUCTION     |LKM_1100302750
I10000|TMTN1|2586174208545| 9564867|NA                  |12/14/2014 23:59:52.000000|12/15/2014 13:59:52.000000|NUL|NULL    |I1R|DFI10   |STAGED_TO_UNALLOCATED|UNALLOCATED|12/15/2014 00:02:35.000000|12/15/2014 13:02:35.000000||PRODUCTION     |LKM_1100302750
I10000|TMTN1|2586174208571| 9564867|NA                  |12/14/2014 23:59:52.000000|12/15/2014 13:59:52.000000|NUL|NULL    |I1R|DFI10   |STAGED_TO_UNALLOCATED|UNALLOCATED|12/15/2014 00:02:35.000000|12/15/2014 13:02:35.000000||PRODUCTION     |LKM_1100302750
I10000|TMTN1|2586174208547| 9564867|NA                  |12/14/2014 23:59:52.000000|12/15/2014 13:59:52.000000|NUL|NULL    |I1R|DFI10   |STAGED_TO_UNALLOCATED|UNALLOCATED|12/15/2014 00:02:35.000000|12/15/2014 13:02:35.000000||PRODUCTION     |LKM_1100302750
I10000|TMTN1|2586174208557| 9564867|NA                  |12/14/2014 23:59:52.000000|12/15/2014 13:59:52.000000|NUL|NULL    |I1R|DFI10   |STAGED_TO_UNALLOCATED|UNALLOCATED|12/15/2014 00:02:35.000000|12/15/2014 13:02:35.000000||PRODUCTION     |LKM_1100302750
I10000|TMTN1|2586174208558| 9564867|NA                  |12/14/2014 23:59:52.000000|12/15/2014 13:59:52.000000|NUL|NULL    |I1R|DFI10   |STAGED_TO_UNALLOCATED|UNALLOCATED|12/15/2014 00:02:35.000000|12/15/2014 13:02:35.000000||PRODUCTION     |LKM_1100302750
I10000|TMTN1|2586174208561| 9564867|NA                  |12/14/2014 23:59:52.000000|12/15/2014 13:59:52.000000|NUL|NULL    |I1R|DFI10   |STAGED_TO_UNALLOCATED|UNALLOCATED|12/15/2014 00:02:35.000000|12/15/2014 13:02:35.000000||PRODUCTION     |LKM_1100302750
I10000|TMTN1|2586174208567| 9564867|NA                  |12/14/2014 23:59:52.000000|12/15/2014 13:59:52.000000|NUL|NULL    |I1R|DFI10   |STAGED_TO_UNALLOCATED|UNALLOCATED|12/15/2014 00:02:35.000000|12/15/2014 13:02:35.000000||PRODUCTION     |LKM_1100302750
I10000|TMTN1|2586174208543| 9564867|NA                  |12/14/2014 23:59:52.000000|12/15/2014 13:59:52.000000|NUL|NULL    |I1R|DFI10   |STAGED_TO_UNALLOCATED|UNALLOCATED|12/15/2014 00:02:35.000000|12/15/2014 13:02:35.000000||PRODUCTION     |LKM_1100302750
I10000|TMTN1|2586174208553| 9564867|NA                  |12/14/2014 23:59:52.000000|12/15/2014 13:59:52.000000|NUL|NULL    |I1R|DFI10   |STAGED_TO_UNALLOCATED|UNALLOCATED|12/15/2014 00:02:35.000000|12/15/2014 13:02:35.000000||PRODUCTION     |LKM_1100302750
I10000|TMTN1|2586174208562| 9564867|NA                  |12/14/2014 23:59:52.000000|12/15/2014 13:59:52.000000|NUL|NULL    |I1R|DFI10   |STAGED_TO_UNALLOCATED|UNALLOCATED|12/15/2014 00:02:35.000000|12/15/2014 13:02:35.000000||PRODUCTION     |LKM_1100302750
